"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2007","European Union (28 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.9",""
"2007","European Union (28 countries)","Current prices, million euro","Gross domestic product at market prices","12,994,330.0",""
"2007","European Union (28 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,075,763.0",""
"2007","European Union (15 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.3",""
"2007","European Union (15 countries)","Current prices, million euro","Gross domestic product at market prices","12,055,496.7",""
"2007","European Union (15 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,077,732.4",""
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.1",""
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","9,255,507.8",""
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,591,182.1",""
"2007","Euro area (19 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.2",""
"2007","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","9,403,064.3",""
"2007","Euro area (19 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,753,170.3",""
"2007","Euro area (12 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.1",""
"2007","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","9,220,355.2",""
"2007","Euro area (12 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,553,555.2",""
"2007","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.8",""
"2007","Belgium","Current prices, million euro","Gross domestic product at market prices","344,712.5",""
"2007","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","360,715.1",""
"2007","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.6",""
"2007","Bulgaria","Current prices, million euro","Gross domestic product at market prices","32,449.1",""
"2007","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","36,911.6",""
